ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11861672,JC473793,10-04-2019 12:00,117XX S MORGAN ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,"SCHOOL, PUBLIC, GROUNDS",FALSE,TRUE,524,5,34,53,08B,1171767,1827035,2019,10/20/2019 03:56:02 PM,41.68083425,-87.64687916,"(41.680834251, -87.646879157)"
11864207,JC476710,08-10-2019 13:00,021XX E 93RD ST,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,RESIDENCE,FALSE,FALSE,413,4,7,48,17,1191933,1843719,2019,10/20/2019 03:56:02 PM,41.72615234,-87.57252276,"(41.726152342, -87.572522761)"
11861675,JC473784,10-12-2019 20:00,040XX N LEAMINGTON AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,TRUE,1624,16,45,15,08B,1141304,1926422,2019,10/20/2019 03:56:02 PM,41.9541797,-87.75594623,"(41.954179698, -87.755946228)"
11601116,JC158914,02/18/2019 12:00:00 AM,077XX S WABASH AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,FALSE,TRUE,623,6,6,69,17,1178053,1853782,2019,06-03-2019 16:14,41.75409183,-87.6230616,"(41.75409183, -87.623061596)"
11862064,JC474171,10/14/2019 12:00:00 AM,043XX W IRVING PARK RD,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,OTHER,FALSE,FALSE,1722,17,45,16,08B,1146792,1926231,2019,10/21/2019 04:19:28 PM,41.95355235,-87.7357763,"(41.953552346, -87.7357763)"
11682957,JC256284,05-08-2019 20:00,013XX W 76TH ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,TRUE,TRUE,612,6,17,71,08B,1168669,1854374,2019,06-05-2019 16:10,41.7559238,-87.65743376,"(41.755923803, -87.65743376)"
11861454,JC472611,10/14/2019 04:19:00 PM,0000X S STATE ST,1755,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,DEPARTMENT STORE,FALSE,FALSE,112,1,42,32,20,1176389,1900278,2019,10/21/2019 04:19:28 PM,41.88171846,-87.62776043,"(41.88171846, -87.627760426)"
11860899,JC472557,10/14/2019 02:30:00 PM,079XX S MARYLAND AVE,1755,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,RESIDENCE,FALSE,FALSE,624,6,8,44,20,1183281,1852506,2019,10/21/2019 04:19:28 PM,41.75047032,-87.60394253,"(41.750470317, -87.603942533)"
11861174,JC473087,10/15/2019 05:52:00 AM,041XX N MARMORA AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,TRUE,TRUE,1624,16,38,15,08B,1136274,1926977,2019,10/22/2019 04:09:46 PM,41.95579418,-87.77442415,"(41.955794177, -87.774424151)"
11858032,JC469247,10-11-2019 19:30,001XX N HARBOR DR,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,APARTMENT,FALSE,FALSE,114,1,42,32,20,1179643,1901697,2019,10/22/2019 04:09:46 PM,41.88553823,-87.61576842,"(41.885538232, -87.615768415)"
11856312,JC467097,10-09-2019 15:45,060XX S ROCKWELL ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,825,8,16,66,20,1160074,1864580,2019,10/22/2019 04:09:46 PM,41.78411153,-87.68865229,"(41.784111527, -87.688652292)"
11682862,JC256774,04-11-2019 00:01,072XX S CALIFORNIA AVE,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,FALSE,FALSE,831,8,18,66,17,1158957,1856595,2019,03/26/2020 03:45:12 PM,41.76222244,-87.69296566,"(41.762222436, -87.692965656)"
11866569,JC478419,09/22/2019 12:00:00 AM,057XX S DAMEN AVE,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,FALSE,FALSE,715,7,15,67,17,1164006,1866608,2019,03/26/2020 03:45:12 PM,41.78959482,-87.67417902,"(41.789594815, -87.67417902)"
11702686,JC281703,05/27/2019 10:00:00 PM,076XX S DAMEN AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,FALSE,TRUE,611,6,17,71,17,1164353,1853928,2019,10/22/2019 04:01:10 PM,41.75479188,-87.67326351,"(41.754791876, -87.673263509)"
11670902,JC242151,04/28/2019 08:50:00 PM,060XX S MASSASOIT AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,TRUE,TRUE,812,8,13,64,17,1139099,1863921,2019,06-07-2019 15:58,41.78270893,-87.76557186,"(41.782708931, -87.765571862)"
